,0
4195c87b9e5efbad9530ce49c9ced2c0,201.0
0486df68a2e86d97d66a2f834250d3ed,198.0
bac4515e933611cec1a5f968eb298d3f,198.0
a44b95658fa2046159fbc2970a0b9de3,196.0
8411cb7d7a80f32bc92e44e4153646ae,194.0
a279c34e59289b5d1df864d141eceb39,190.0
9ab6f3090ccf4fefde11c0d3fea43376,189.0
4d90670dfe173537b47eb9bda1c7c210,185.0
cc70482da0cbc6bb2786989975b70992,184.0
0009c3a52b8c85f808dd8a83b152693b,180.0
0a40762974ec77fe7dd6f3c24ff87775,176.0
317b0cde3a13374822ffef922b6407e5,175.0
7af1d6fca1d6de41a0ddb776cf6fb797,174.0
cac4a40920d30576c787122dba8f5a15,174.0
472c4eb158e39c71cef67345dea30602,163.0
b5a37159f71b15dd3d2310314bed57fc,161.0
908c265cf1b3e57c95d40e55d0fccde0,161.0
400262e9a33234c0a4a0783d87bdbf4b,160.0
46749ebf3521483086b9f49c2eef051d,160.0
5d3e7945a75e239e963ed35f9e47acb3,156.0
a67dee232a8d7c63a2d882e7ccc23bd2,155.0
7ebac65e44dc3bb9e7ad54d9ef2df4fa,153.0
ebc5eae07d95bfb0bb4bfc8c4dc7d2f8,151.0
518b7db6da85a1e8f4413e103663bc33,151.0
7af3ab5f025a35de388299b523829226,148.0
02178309f68c93e46f74378c824b9c50,144.0
0fb2101f7809ae1287ba02faebb1460e,142.0
f3023d1cddc3ef5e68d501990f298ba0,139.0
bb5d10d2dff1b8e4c0be37300ec091b0,136.0
133a9baf13dfd024b756e2dfa54d9c66,135.0
1706a3aea11ff803d10b117c85721640,134.0
042b067e316319e47bcee09a3a2d3008,133.0
6afbeeb0ecb6864c1fb5814ca70d90de,131.0
2332d83fc73615c5d96e5e9e86c904a8,130.0
e948b363bc5618f8e3a996c1490ed430,127.0
04c180502f4f188cb784ba93862f1587,127.0
cf910fa2d3b53caa193fece275d5de12,125.0
bdcf936a672daefe51a3911cac420e33,121.0
01253e96c230a438a86b6e43502de40f,117.0
f05fd11f367a5539e59b077ad2f88dd7,117.0
d869873e64b358e867cd9b80c2bb938b,116.0
43bb7a49f5d00876e58bf19fea088a2a,115.0
44b75d41eec4aff8b5171e1d1a8f92d1,114.0
65401f8ae9beda004f59e7482427f921,114.0
ca5a569a380336784a82bbaefa4cfd91,114.0
9f46113441e8c3231d36fe5d44ebdbca,111.0
0bff7f14f1ac73012371c3fdb35ed979,110.0
092bd4b067659819a84b1afb60676fd9,110.0
d0611a7340f06bafbf06c7bf7ed5a99b,109.0
92459f0c70e25918b1be4f7c5ea5db71,107.0
c0d798f78ebee8d1a343c12aa3a26bfe,107.0
fbe3020abdfeaafe0b266427ceab655f,106.0
0c37e56c9c0d1d3037bd2282707ec0eb,105.0
db4727b50459c01a1596cc5cb8ab6f6d,104.0
c4cb4e228c10680258f380afcbb527d7,104.0
f5c031d3e30b5e7320f60299eb892e00,103.0
a9a5f84467926548dd17cccdefa9cb97,103.0
447598f6121de8133e895634c9bb5876,103.0
cadbceb5f26236cf6df50cf13fe0fd05,100.0
f4f2fe5d42162067a1775d46e8ca8d26,100.0
ab5674878a1d452a3ef418b76ab78cd1,100.0
4ec9e0a021ce5389aa46a85dcf7a9b52,99.0
b60d05078c94f238ff1dcf11699029a4,99.0
bd7a56d7addd1e548afbf8b2d897419a,95.0
b2ed3f03926fdc40d1859489eab733f3,95.0
cd33ed8b08c6e89c7dbfb6cb1a4cc992,95.0
e35b1609793eaa75a53bdeba927083de,94.0
5fe25dd59054ddbd052a15bf5bb680ef,94.0
8669bec779f2e7961f950ea9a8236178,93.0
ddc8038b6f95b18fb86a6c30c3cad90f,92.0
0e7a47617ce5c6754f215baaf9614045,91.0
8d8d51f0b3c69efecda25ee33ff6871b,89.0
4151e9ad9442bb81fb373848d6e10a46,89.0
f05cd4c583db0501388e191c2ccdcb6c,88.0
b9309a3498f9bb1c3436ba129b5864fc,87.0
8d0a7ef04862f2060014e24f6c7ccf0f,87.0
02f3e1783063d8501ab870590fa12d64,86.0
c9133eba66328cfcaeb17a8ceeaa7732,86.0
5b47b989d66001762250598b3f1abfff,86.0
5d2aebdf1f284bf075435324d5439585,86.0
059208146d4b80e04e308a36d7103c32,85.0
85ce88d3c0207a45c22bf1b23e45df35,84.0
ebd5350b05edc70a1acd502a5774daf9,83.0
022947c33b84629e647ca4561f044d9d,83.0
116f5dfd78a4701c632ae58319f31da2,81.0
d09219664048635b4f42e04f6b6f0707,80.0
ea37e41fd048afce1d8212701227ed36,78.0
622ea3879ff1994048934f525cc79240,77.0
625a3aed1e9eea46edab13ed140e85b0,77.0
744e22792bd640aa8a68e5d08a4e630e,76.0
132baed392d0bd8f9673ec503cb9956b,76.0
775382486ad76f975319541858e2d16b,75.0
02b32c0e356ea2211c096440d71e728c,74.0
144708b9fe0463bd962e694b14d2ed76,73.0
b1e1d5f135754afe4f056285016e52ac,73.0
5f817bf7511a3d1fcd3f723cfcad9240,72.0
8d6d7a70ca5dc70c7d9fcb9add1fc39f,71.0
5162580dfb274c31109adb30f80d5563,71.0
73510ced4cf8f7b50e2f66ef6d056ce1,71.0
728c6e9a5572b77dd044acea18295475,70.0
b2aa8eaf6e55d98903db732907773b6e,70.0
7eda2073a66894165c184613221ef391,69.0
f4cdae5a110b50c85012ae2537d3e404,67.0
05cfb20c9316b09a3c25f10ce6705a88,67.0
d4bb8fa77c2a70c2bff1dc4dff4060fb,66.0
dde6e82373b775a996029387ac9658e2,66.0
035c28f4c93daa8fc0685189f75b2d06,65.0
84c5cbff00bd2485aaa1e0b2a2ecd1a1,65.0
26823674f3647ae449131ef24869b546,65.0
8995a8897406967ae471306ce11af58e,64.0
924dfb81945aef490513ec17d0af600d,63.0
4c67896c070f34688e6b60cff16dce34,62.0
9bad2891cd27980d40ffeff4562e1f20,62.0
fc20c3ccc116fd2dab77720d008c9e89,62.0
71d7fae845a1343810b0b71642ded0c3,61.0
3f74cbe78cbe99572c7f09aa523f710c,61.0
fa42aa28cf0318ce1bfa7c24396140f4,61.0
aaf7e30fb0693a5226a094151587c37d,60.0
78cd60eefd1dd3df79a705a63bbf7cfb,59.0
333cb15830ba2bc563ea2d8c53ee250b,59.0
97caf5ae955dc4419f622d260c80ef1e,59.0
07e1d9fd94050831d9bdbb249e8583fa,58.0
b67b61007178b57de8bf7efbce42645a,58.0
19a506d2ca6159d385c8bb9a932a094f,58.0
98c9b2e34857df943fd42c81dc73c334,57.0
72d776eab59b00dae9fcf8a72e8db513,57.0
0f317d7b2abd7471f6439babea542903,57.0
c723f8e61296db025c7df7ff5a44b324,57.0
551328a0aac16b065e438cc7943f2f80,56.0
f826e7ff1e1c69d333ba37d9df98336c,56.0
7239c55f58a6f9948c9c630419b78193,56.0
9a6817d4dfeb6642891b628ed46baa57,56.0
55c0d082efe967c9240dd86ecc303b16,55.0
23f999e335e3f3662bfd1d226ef05994,54.0
91d62ee227066dbd1e3162da54a9a484,54.0
55be662e3c9685c6525baca3d0d2dfaf,53.0
c5a028ea2d8f6067675dfe3ed9aa5903,53.0
c319dba8ec67bd0ec0fc878472e277e5,52.0
a965feb8638140a4657de8fb6cd0dcd6,52.0
353c80b53e9d5d6f01b712c8b23d14ed,51.0
e39da7c15ca97210d34ab8007b6d0db1,51.0
0d5987c8c38271ec8e45b0459fb36174,51.0
c7856a8f18d1f1c19afc68b96ec337cf,51.0
159b5f80a19677647b447c8d6aa6853a,50.0
6adc7bb56cd6d9f06e87a76aab0f1ded,49.0
6be692e5d1e813cbed4f5c50fd07ad19,49.0
52ed46ba6b0164c54b5823cfd6fbf628,49.0
c2864a27903351ef122cb08e36a4d27e,49.0
7e4a059a60eace9fb87701fc6d9c3ee2,48.0
7f88798b76e61885bc2596d806ef5b9f,48.0
