Feature ID	Taxon	Consensus
db9cf39e80623221f8a1fbd7fff8725c	k__Animalia;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Galumnidae;g__;s__	1.0
685148500ba8fec1079a49cf82e9c4a3	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae;g__Epiglaea;s__apiata	1.0
2706c71eec318f84c60ee5f1485ac77a	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Thomisidae;g__Xysticus;s__britcheri	1.0
cc58dc666c9eabc2639b62c6f8eecf96	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Lycosidae;g__Trebacosa;s__marxi	1.0
e44ab4cbf9307be8d019b757c5c51e96	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Philodromidae;g__Ebo;s__iviei	1.0
9d7bc6962a46d330d8d8a7c2e0df6c4b	k__Animalia;p__Arthropoda;c__Insecta;o__Plecoptera;f__Leuctridae;g__Leuctra;s__maria	1.0
10d3d4258e2445df92241ddb311e3934	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Philodromidae;g__Tibellus;s__maritimus	1.0
834343cdd52d8732ac023ce2f7b4789b	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Gnaphosidae;g__Gnaphosa;s__parvula	1.0
c3e5fd3863d13c6d66d9c985d5112f11	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Hypagyrtis;s__esther	1.0
1310b4ffc2274031a490354f5de8bb18	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Xanthotype;s__	1.0
d8c6af9fed6132cb2ec1f18d71650122	k__Animalia;p__Arthropoda;c__Insecta;o__Hymenoptera;f__;g__;s__	1.0
e0bc47ab43a742455c857d9f26d35065	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Thomisidae;g__Xysticus;s__punctatus	1.0
aae00bb17831c3f9204e3cbc4859db58	k__Animalia;p__Arthropoda;c__Insecta;o__Hemiptera;f__Miridae;g__Pilophorus;s__piceicola	1.0
62deed16dbecccaf2ba7f95491c71152	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae;g__Coenophila;s__opacifrons	1.0
c8335d8c6377a9814ce1d8f793bc4914	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Gnaphosidae;g__Gnaphosa;s__parvula	1.0
