Feature ID	Taxon	Confidence
a67dee232a8d7c63a2d882e7ccc23bd2	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Tipulidae;g__Tipula;s__tephrocephala	0.99711937696191
02178309f68c93e46f74378c824b9c50	k__Animalia;p__Arthropoda;c__Insecta	0.7187484886850767
e948b363bc5618f8e3a996c1490ed430	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera	0.9242732062856915
04c180502f4f188cb784ba93862f1587	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Theridiidae;g__Euryopis;s__funebris	0.9999877363187678
cf910fa2d3b53caa193fece275d5de12	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera	0.9319283897206139
65401f8ae9beda004f59e7482427f921	k__Animalia;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Ichneumonidae	0.9718378148642441
ca5a569a380336784a82bbaefa4cfd91	k__Animalia;p__Arthropoda;c__Insecta;o__Megaloptera;f__Corydalidae;g__Chauliodes;s__pectinicornis	0.996683961005797
44b75d41eec4aff8b5171e1d1a8f92d1	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae	0.8756984289820454
0bff7f14f1ac73012371c3fdb35ed979	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera	0.9320803611043845
92459f0c70e25918b1be4f7c5ea5db71	k__Animalia;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Ichneumonidae	0.9232115386976976
c0d798f78ebee8d1a343c12aa3a26bfe	k__Animalia;p__Arthropoda	0.9999999999999752
db4727b50459c01a1596cc5cb8ab6f6d	k__Animalia;p__Arthropoda	0.9999999999999797
a9a5f84467926548dd17cccdefa9cb97	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;g__Pseudolimnophila;s__inornata	0.9289476954405137
5fe25dd59054ddbd052a15bf5bb680ef	k__Animalia;p__Arthropoda;c__Insecta;o__Hemiptera;f__Delphacidae;g__Criomorphus;s__conspicuus	0.9999999432111525
85ce88d3c0207a45c22bf1b23e45df35	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae	0.9111545944668209
d09219664048635b4f42e04f6b6f0707	k__Animalia;p__Arthropoda;c__Insecta;o__Megaloptera;f__Corydalidae;g__Chauliodes;s__pectinicornis	0.9997026891396116
625a3aed1e9eea46edab13ed140e85b0	k__Animalia;p__Arthropoda	0.9999999999999819
5162580dfb274c31109adb30f80d5563	k__Animalia;p__Arthropoda	0.999999999999974
7eda2073a66894165c184613221ef391	k__Animalia;p__Arthropoda;c__Insecta;o__Hemiptera;f__Delphacidae;g__Criomorphus;s__conspicuus	0.9999993326279462
d4bb8fa77c2a70c2bff1dc4dff4060fb	k__Animalia;p__Arthropoda;c__Insecta;o__Megaloptera;f__Corydalidae;g__Chauliodes;s__pectinicornis	0.9994645428048008
84c5cbff00bd2485aaa1e0b2a2ecd1a1	k__Animalia;p__Arthropoda;c__Arachnida	0.8180973625317823
3f74cbe78cbe99572c7f09aa523f710c	k__Animalia;p__Arthropoda;c__Insecta	0.7909308840512167
fa42aa28cf0318ce1bfa7c24396140f4	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera	0.965853082252866
aaf7e30fb0693a5226a094151587c37d	k__Animalia;p__Arthropoda;c__Arachnida	0.7718246671323429
333cb15830ba2bc563ea2d8c53ee250b	k__Animalia;p__Arthropoda	0.9999999999999757
0f317d7b2abd7471f6439babea542903	k__Animalia;p__Arthropoda;c__Insecta	0.9094910124002334
72d776eab59b00dae9fcf8a72e8db513	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Tipulidae;g__Tipula;s__jacobus	0.9902294712246716
55c0d082efe967c9240dd86ecc303b16	k__Animalia;p__Arthropoda;c__Arachnida	0.7156548846417939
c5a028ea2d8f6067675dfe3ed9aa5903	k__Animalia;p__Arthropoda	0.9999999999999939
a965feb8638140a4657de8fb6cd0dcd6	k__Animalia;p__Arthropoda	1.0000000000000036
0d5987c8c38271ec8e45b0459fb36174	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera	0.742750914962936
